Top1
Bi-LSTM-A+ELMo vs Bi-LSTM+ELMo: 0.0710, negligible
Bi-LSTM-A+ELMo vs Bi-LSTM-A+BERT: 0.5089, large
Bi-LSTM-A+ELMo vs Bi-LSTM+BERT: 0.8402, large
Bi-LSTM-A+ELMo vs Bi-LSTM-A+Glove: 0.7988, large
Bi-LSTM-A+ELMo vs Bi-LSTM+Glove: 0.8817, large
Bi-LSTM-A+ELMo vs MLP+Glove: 0.7811, large
Bi-LSTM-A+ELMo vs LSTM-A+BERT: 0.8225, large
Bi-LSTM-A+ELMo vs LSTM+W2V: 0.8580, large
Bi-LSTM-A+ELMo vs LSTM+Glove: 0.8343, large
Bi-LSTM-A+ELMo vs MLP+BERT: 0.9290, large
Bi-LSTM-A+ELMo vs Bi-LSTM-A+W2V: 0.9112, large
Bi-LSTM-A+ELMo vs TextCNN+W2V: 0.9408, large
Bi-LSTM-A+ELMo vs TextCNN+ELMo: 0.9527, large
Bi-LSTM-A+ELMo vs Bi-LSTM+W2V: 0.9408, large
Bi-LSTM-A+ELMo vs LSTM-A+ELMo: 0.9704, large
Bi-LSTM-A+ELMo vs MLP+W2V: 0.9822, large
Bi-LSTM-A+ELMo vs TextCNN+Glove: 0.9763, large
Bi-LSTM-A+ELMo vs LSTM-A+Glove: 0.9822, large
Bi-LSTM-A+ELMo vs LSTM+ELMo: 0.9704, large
Bi-LSTM-A+ELMo vs LSTM+BERT: 0.9822, large
Bi-LSTM-A+ELMo vs LSTM-A+W2V: 0.9172, large
Bi-LSTM-A+ELMo vs TextCNN+BERT: 0.9467, large
Bi-LSTM-A+ELMo vs MLP+ELMo: 0.9882, large
Bi-LSTM+ELMo vs Bi-LSTM-A+BERT: 0.3964, medium
Bi-LSTM+ELMo vs Bi-LSTM+BERT: 0.7692, large
Bi-LSTM+ELMo vs Bi-LSTM-A+Glove: 0.7101, large
Bi-LSTM+ELMo vs Bi-LSTM+Glove: 0.8521, large
Bi-LSTM+ELMo vs MLP+Glove: 0.6982, large
Bi-LSTM+ELMo vs LSTM-A+BERT: 0.7751, large
Bi-LSTM+ELMo vs LSTM+W2V: 0.7870, large
Bi-LSTM+ELMo vs LSTM+Glove: 0.7574, large
Bi-LSTM+ELMo vs MLP+BERT: 0.8817, large
Bi-LSTM+ELMo vs Bi-LSTM-A+W2V: 0.8462, large
Bi-LSTM+ELMo vs TextCNN+W2V: 0.8817, large
Bi-LSTM+ELMo vs TextCNN+ELMo: 0.9053, large
Bi-LSTM+ELMo vs Bi-LSTM+W2V: 0.9053, large
Bi-LSTM+ELMo vs LSTM-A+ELMo: 0.9408, large
Bi-LSTM+ELMo vs MLP+W2V: 0.9645, large
Bi-LSTM+ELMo vs TextCNN+Glove: 0.9527, large
Bi-LSTM+ELMo vs LSTM-A+Glove: 0.9645, large
Bi-LSTM+ELMo vs LSTM+ELMo: 0.9408, large
Bi-LSTM+ELMo vs LSTM+BERT: 0.9645, large
Bi-LSTM+ELMo vs LSTM-A+W2V: 0.8757, large
Bi-LSTM+ELMo vs TextCNN+BERT: 0.9172, large
Bi-LSTM+ELMo vs MLP+ELMo: 0.9763, large
Bi-LSTM-A+BERT vs Bi-LSTM+BERT: 0.4852, large
Bi-LSTM-A+BERT vs Bi-LSTM-A+Glove: 0.4497, medium
Bi-LSTM-A+BERT vs Bi-LSTM+Glove: 0.7041, large
Bi-LSTM-A+BERT vs MLP+Glove: 0.5089, large
Bi-LSTM-A+BERT vs LSTM-A+BERT: 0.5740, large
Bi-LSTM-A+BERT vs LSTM+W2V: 0.5799, large
Bi-LSTM-A+BERT vs LSTM+Glove: 0.4615, medium
Bi-LSTM-A+BERT vs MLP+BERT: 0.6982, large
Bi-LSTM-A+BERT vs Bi-LSTM-A+W2V: 0.6095, large
Bi-LSTM-A+BERT vs TextCNN+W2V: 0.7456, large
Bi-LSTM-A+BERT vs TextCNN+ELMo: 0.7751, large
Bi-LSTM-A+BERT vs Bi-LSTM+W2V: 0.7811, large
Bi-LSTM-A+BERT vs LSTM-A+ELMo: 0.8639, large
Bi-LSTM-A+BERT vs MLP+W2V: 0.9290, large
Bi-LSTM-A+BERT vs TextCNN+Glove: 0.9053, large
Bi-LSTM-A+BERT vs LSTM-A+Glove: 0.9290, large
Bi-LSTM-A+BERT vs LSTM+ELMo: 0.8639, large
